amfi_code,scheme_name,fund_house,category,expense_ratio_pct,risk_grade,fund_manager,launch_date
119544,Aditya Birla Sun Life Midcap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Mid Cap,1.12,High,Vinod Narayan,2018-01-28
120725,UTI Mid Cap Fund - Direct Growth,UTI Mutual Fund,Mid Cap,1.2,High,Ankit Agarwal,2017-05-21
120645,DSP Midcap Fund - Direct Growth,DSP Mutual Fund,Mid Cap,0.95,High,Vinit Sambre,2019-08-15
118564,Franklin India Prima Fund - Direct Growth,Franklin Templeton Mutual Fund,Mid Cap,1.3,High,R. Janakiraman,2015-05-11
119600,SBI Small Cap Fund - Direct Growth,SBI Mutual Fund,Small Cap,0.9,Very High,R. Srinivasan,2019-08-13
120606,ICICI Prudential Smallcap Fund - Direct Growth,ICICI Prudential Mutual Fund,Small Cap,0.95,Very High,Sankaran Naren,2018-08-25
125495,HDFC Small Cap Fund - Direct Growth,HDFC Mutual Fund,Small Cap,0.88,Very High,Chirag Setalvad,2017-02-08
118751,Nippon India Small Cap Fund - Direct Growth,Nippon India Mutual Fund,Small Cap,0.82,Very High,Samir Rachh,2015-12-10
119553,Axis Small Cap Fund - Direct Plan Growth,Axis Mutual Fund,Small Cap,0.7,Very High,Anupam Tiwari,2019-02-24
120848,Kotak Small Cap Fund - Direct Growth,Kotak Mahindra Mutual Fund,Small Cap,0.85,Very High,Pankaj Tibrewal,2018-12-08
119545,Aditya Birla Sun Life Small Cap Fund - Direct Growth,Aditya Birla Sun Life Mutual Fund,Small Cap,1.05,Very High,Vishal Gajwani,2017-03-16
120727,UTI Small Cap Fund - Direct Growth,UTI Mutual Fund,Small Cap,1.15,Very High,Ankit Agarwal,2016-01-21
120647,DSP Small Cap Fund - Direct Growth,DSP Mutual Fund,Small Cap,0.98,Very High,Vinit Sambre,2018-04-30
118566,Franklin India Smaller Companies Fund - Direct Growth,Franklin Templeton Mutual Fund,Small Cap,1.25,Very High,R. Janakiraman,2017-08-13
119062,Axis Long Term Equity Fund - Direct Growth,Axis Mutual Fund,ELSS,0.75,Moderately High,Jinesh Gopani,2015-10-04
120505,ICICI Prudential Long Term Equity Fund - Direct Growth,ICICI Prudential Mutual Fund,ELSS,0.88,Moderately High,Harish Bihani,2018-03-30
119564,SBI Tax Advantage Fund - Direct Growth,SBI Mutual Fund,ELSS,1.1,High,R. Srinivasan,2016-04-04
125498,HDFC Taxsaver Fund - Direct Growth,HDFC Mutual Fund,ELSS,1.2,High,Rakesh Vyas,2018-08-30
120850,Kotak Tax Saver Fund - Direct Growth,Kotak Mahindra Mutual Fund,ELSS,0.8,Moderately High,Harsha Upadhyaya,2015-01-22
119438,Aditya Birla Sun Life Tax Relief 96 - Direct Growth,Aditya Birla Sun Life Mutual Fund,ELSS,0.92,Moderately High,Ajay Garg,2015-09-10
120728,UTI Equity Tax Savings Plan - Direct Growth,UTI Mutual Fund,ELSS,1.05,Moderately High,Swati Kulkarni,2017-01-17
120852,Kotak Liquid Fund - Direct Growth,Kotak Mahindra Mutual Fund,Liquid,0.2,Low,Deepak Agrawal,2017-05-06
119556,SBI Liquid Fund - Direct Growth,SBI Mutual Fund,Liquid,0.18,Low,R. Arun,2019-05-04
120507,ICICI Prudential Liquid Fund - Direct Growth,ICICI Prudential Mutual Fund,Liquid,0.22,Low,Rahul Goswami,2016-04-19
