amfi_code,stock_symbol,sector,weight_pct,as_of_date
118632,TCS,IT,0.91,2025-12-31
118632,TITAN,Consumer,21.37,2025-12-31
118632,ASIANPAINT,Consumer,4.01,2025-12-31
118632,HDFCBANK,Financials,1.34,2025-12-31
118632,ULTRACEMCO,Materials,3.57,2025-12-31
118632,KOTAKBANK,Financials,33.04,2025-12-31
119092,MARUTI,Auto,10.13,2025-12-31
119092,KOTAKBANK,Financials,9.84,2025-12-31
119092,ASIANPAINT,Consumer,0.2,2025-12-31
119092,SBIN,Financials,17.39,2025-12-31
119092,TCS,IT,7.25,2025-12-31
119092,RELIANCE,Energy,23.31,2025-12-31
119092,TITAN,Consumer,8.52,2025-12-31
119092,AXISBANK,Financials,14.9,2025-12-31
119092,BAJFINANCE,Financials,6.28,2025-12-31
119092,WIPRO,IT,2.19,2025-12-31
120841,ICICIBANK,Financials,2.12,2025-12-31
120841,ASIANPAINT,Consumer,22.12,2025-12-31
120841,SUNPHARMA,Healthcare,0.15,2025-12-31
120841,HDFCBANK,Financials,8.17,2025-12-31
120841,BHARTIARTL,Telecom,23.29,2025-12-31
120841,TCS,IT,23.34,2025-12-31
120841,RELIANCE,Energy,4.58,2025-12-31
120841,ULTRACEMCO,Materials,12.1,2025-12-31
120841,LT,Industrials,4.13,2025-12-31
119437,ICICIBANK,Financials,7.5,2025-12-31
119437,LT,Industrials,11.76,2025-12-31
119437,MARUTI,Auto,0.13,2025-12-31
119437,AXISBANK,Financials,2.24,2025-12-31
119437,TCS,IT,14.09,2025-12-31
119437,ASIANPAINT,Consumer,18.76,2025-12-31
119437,BHARTIARTL,Telecom,3.85,2025-12-31
119437,WIPRO,IT,2.91,2025-12-31
119437,SUNPHARMA,Healthcare,3.46,2025-12-31
119437,RELIANCE,Energy,15.03,2025-12-31
119437,TITAN,Consumer,3.94,2025-12-31
119437,INFY,IT,11.54,2025-12-31
119437,KOTAKBANK,Financials,4.78,2025-12-31
120716,SUNPHARMA,Healthcare,29.51,2025-12-31
120716,ULTRACEMCO,Materials,3.14,2025-12-31
120716,KOTAKBANK,Financials,9.09,2025-12-31
120716,RELIANCE,Energy,23.58,2025-12-31
120716,BAJFINANCE,Financials,0.56,2025-12-31
120716,WIPRO,IT,5.78,2025-12-31
120716,BHARTIARTL,Telecom,9.79,2025-12-31
120716,ASIANPAINT,Consumer,3.68,2025-12-31
120716,ICICIBANK,Financials,14.88,2025-12-31
120642,RELIANCE,Energy,20.48,2025-12-31
120642,INFY,IT,1.37,2025-12-31
120642,SUNPHARMA,Healthcare,13.48,2025-12-31
120642,ICICIBANK,Financials,10.81,2025-12-31
120642,BHARTIARTL,Telecom,0.24,2025-12-31
120642,MARUTI,Auto,16.53,2025-12-31
120642,ASIANPAINT,Consumer,2.62,2025-12-31
120642,TCS,IT,2.95,2025-12-31
120642,SBIN,Financials,31.52,2025-12-31
118559,TCS,IT,18.89,2025-12-31
118559,HINDUNILVR,Consumer,6.38,2025-12-31
118559,HDFCBANK,Financials,8.69,2025-12-31
118559,ULTRACEMCO,Materials,4.21,2025-12-31
118559,TITAN,Consumer,10.9,2025-12-31
118559,AXISBANK,Financials,41.93,2025-12-31
118559,SBIN,Financials,5.0,2025-12-31
118559,LT,Industrials,4.01,2025-12-31
119598,AXISBANK,Financials,1.17,2025-12-31
119598,TCS,IT,0.04,2025-12-31
119598,LT,Industrials,10.48,2025-12-31
119598,WIPRO,IT,1.9,2025-12-31
119598,SUNPHARMA,Healthcare,13.84,2025-12-31
119598,RELIANCE,Energy,13.82,2025-12-31
119598,MARUTI,Auto,11.15,2025-12-31
119598,KOTAKBANK,Financials,26.85,2025-12-31
119598,ITC,Consumer,14.42,2025-12-31
119598,HCLTECH,IT,0.08,2025-12-31
119598,SBIN,Financials,2.13,2025-12-31
119598,HINDUNILVR,Consumer,4.12,2025-12-31
120586,KOTAKBANK,Financials,9.82,2025-12-31
120586,HDFCBANK,Financials,28.34,2025-12-31
120586,SUNPHARMA,Healthcare,6.35,2025-12-31
120586,SBIN,Financials,3.63,2025-12-31
120586,BHARTIARTL,Telecom,1.63,2025-12-31
120586,TCS,IT,10.39,2025-12-31
120586,LT,Industrials,30.22,2025-12-31
120586,WIPRO,IT,8.99,2025-12-31
120586,TITAN,Consumer,0.64,2025-12-31
125494,LT,Industrials,3.63,2025-12-31
125494,RELIANCE,Energy,22.38,2025-12-31
125494,BHARTIARTL,Telecom,4.06,2025-12-31
125494,MARUTI,Auto,20.84,2025-12-31
125494,AXISBANK,Financials,10.97,2025-12-31
125494,ULTRACEMCO,Materials,14.7,2025-12-31
125494,SBIN,Financials,9.03,2025-12-31
125494,BAJFINANCE,Financials,8.35,2025-12-31
125494,HINDUNILVR,Consumer,0.11,2025-12-31
125494,INFY,IT,5.93,2025-12-31
118743,HINDUNILVR,Consumer,2.67,2025-12-31
118743,ULTRACEMCO,Materials,7.48,2025-12-31
118743,MARUTI,Auto,1.78,2025-12-31
118743,ASIANPAINT,Consumer,9.65,2025-12-31
118743,BHARTIARTL,Telecom,26.98,2025-12-31
118743,AXISBANK,Financials,15.61,2025-12-31
118743,ITC,Consumer,0.58,2025-12-31
118743,SBIN,Financials,5.31,2025-12-31
118743,LT,Industrials,0.63,2025-12-31
118743,HCLTECH,IT,3.33,2025-12-31
118743,TITAN,Consumer,7.46,2025-12-31
118743,BAJFINANCE,Financials,4.08,2025-12-31
118743,SUNPHARMA,Healthcare,14.42,2025-12-31
119552,HCLTECH,IT,14.37,2025-12-31
119552,KOTAKBANK,Financials,4.4,2025-12-31
119552,LT,Industrials,11.02,2025-12-31
119552,BAJFINANCE,Financials,10.11,2025-12-31
119552,BHARTIARTL,Telecom,33.57,2025-12-31
119552,SBIN,Financials,16.27,2025-12-31
119552,ULTRACEMCO,Materials,0.27,2025-12-31
119552,INFY,IT,10.0,2025-12-31
120845,SBIN,Financials,0.46,2025-12-31
120845,RELIANCE,Energy,9.79,2025-12-31
120845,BHARTIARTL,Telecom,8.24,2025-12-31
120845,BAJFINANCE,Financials,0.37,2025-12-31
120845,HDFCBANK,Financials,5.67,2025-12-31
120845,WIPRO,IT,14.2,2025-12-31
120845,INFY,IT,11.77,2025-12-31
120845,ULTRACEMCO,Materials,8.97,2025-12-31
120845,KOTAKBANK,Financials,2.79,2025-12-31
120845,TITAN,Consumer,27.44,2025-12-31
120845,ASIANPAINT,Consumer,1.04,2025-12-31
120845,ITC,Consumer,0.21,2025-12-31
120845,TCS,IT,4.88,2025-12-31
120845,LT,Industrials,4.18,2025-12-31
119544,INFY,IT,10.32,2025-12-31
119544,LT,Industrials,31.03,2025-12-31
119544,SBIN,Financials,11.79,2025-12-31
119544,WIPRO,IT,5.55,2025-12-31
119544,BAJFINANCE,Financials,1.62,2025-12-31
119544,TITAN,Consumer,19.16,2025-12-31
119544,HCLTECH,IT,17.73,2025-12-31
119544,ITC,Consumer,2.8,2025-12-31
120725,BAJFINANCE,Financials,6.18,2025-12-31
120725,TCS,IT,5.83,2025-12-31
120725,BHARTIARTL,Telecom,11.76,2025-12-31
120725,AXISBANK,Financials,26.35,2025-12-31
120725,HCLTECH,IT,20.81,2025-12-31
120725,INFY,IT,1.68,2025-12-31
120725,SUNPHARMA,Healthcare,7.24,2025-12-31
120725,ASIANPAINT,Consumer,1.4,2025-12-31
120725,ULTRACEMCO,Materials,13.02,2025-12-31
120725,SBIN,Financials,1.34,2025-12-31
120725,ICICIBANK,Financials,4.39,2025-12-31
120645,LT,Industrials,40.84,2025-12-31
120645,AXISBANK,Financials,8.67,2025-12-31
120645,SUNPHARMA,Healthcare,12.1,2025-12-31
120645,BHARTIARTL,Telecom,2.47,2025-12-31
120645,RELIANCE,Energy,3.31,2025-12-31
120645,TITAN,Consumer,15.23,2025-12-31
120645,ASIANPAINT,Consumer,6.34,2025-12-31
120645,HINDUNILVR,Consumer,11.04,2025-12-31
118564,LT,Industrials,1.13,2025-12-31
118564,WIPRO,IT,0.95,2025-12-31
118564,ASIANPAINT,Consumer,10.65,2025-12-31
118564,INFY,IT,25.93,2025-12-31
118564,BAJFINANCE,Financials,19.65,2025-12-31
118564,HDFCBANK,Financials,8.06,2025-12-31
118564,RELIANCE,Energy,10.05,2025-12-31
118564,AXISBANK,Financials,6.49,2025-12-31
118564,TITAN,Consumer,0.1,2025-12-31
118564,TCS,IT,10.22,2025-12-31
118564,SUNPHARMA,Healthcare,3.46,2025-12-31
118564,MARUTI,Auto,3.3,2025-12-31
119600,ITC,Consumer,20.25,2025-12-31
119600,AXISBANK,Financials,7.29,2025-12-31
119600,ICICIBANK,Financials,8.49,2025-12-31
119600,INFY,IT,3.68,2025-12-31
119600,LT,Industrials,1.72,2025-12-31
119600,WIPRO,IT,40.86,2025-12-31
119600,HINDUNILVR,Consumer,16.13,2025-12-31
119600,HDFCBANK,Financials,1.58,2025-12-31
120606,TITAN,Consumer,5.54,2025-12-31
120606,LT,Industrials,12.73,2025-12-31
120606,SBIN,Financials,8.36,2025-12-31
120606,KOTAKBANK,Financials,4.24,2025-12-31
120606,WIPRO,IT,0.33,2025-12-31
120606,SUNPHARMA,Healthcare,45.29,2025-12-31
120606,BHARTIARTL,Telecom,10.22,2025-12-31
120606,RELIANCE,Energy,13.29,2025-12-31
125495,TITAN,Consumer,28.69,2025-12-31
125495,ITC,Consumer,3.1,2025-12-31
125495,BAJFINANCE,Financials,6.26,2025-12-31
125495,TCS,IT,8.6,2025-12-31
125495,HCLTECH,IT,2.6,2025-12-31
125495,HINDUNILVR,Consumer,2.03,2025-12-31
125495,BHARTIARTL,Telecom,29.22,2025-12-31
125495,AXISBANK,Financials,19.5,2025-12-31
118751,KOTAKBANK,Financials,35.64,2025-12-31
118751,LT,Industrials,28.02,2025-12-31
118751,HINDUNILVR,Consumer,1.89,2025-12-31
118751,ULTRACEMCO,Materials,1.35,2025-12-31
118751,WIPRO,IT,10.6,2025-12-31
118751,TCS,IT,0.71,2025-12-31
118751,SBIN,Financials,0.56,2025-12-31
118751,BAJFINANCE,Financials,2.93,2025-12-31
118751,HCLTECH,IT,18.29,2025-12-31
119553,BHARTIARTL,Telecom,3.33,2025-12-31
119553,ITC,Consumer,12.31,2025-12-31
119553,HDFCBANK,Financials,23.03,2025-12-31
119553,TITAN,Consumer,16.05,2025-12-31
119553,INFY,IT,24.71,2025-12-31
119553,HINDUNILVR,Consumer,16.76,2025-12-31
119553,RELIANCE,Energy,2.37,2025-12-31
119553,HCLTECH,IT,0.55,2025-12-31
119553,AXISBANK,Financials,0.89,2025-12-31
120848,TCS,IT,10.87,2025-12-31
120848,AXISBANK,Financials,7.94,2025-12-31
120848,KOTAKBANK,Financials,7.4,2025-12-31
120848,ULTRACEMCO,Materials,0.74,2025-12-31
120848,HCLTECH,IT,10.48,2025-12-31
120848,MARUTI,Auto,0.49,2025-12-31
120848,ITC,Consumer,1.12,2025-12-31
120848,TITAN,Consumer,15.4,2025-12-31
120848,HDFCBANK,Financials,4.03,2025-12-31
120848,SBIN,Financials,25.87,2025-12-31
120848,INFY,IT,2.08,2025-12-31
120848,SUNPHARMA,Healthcare,8.46,2025-12-31
120848,LT,Industrials,5.05,2025-12-31
120848,RELIANCE,Energy,0.07,2025-12-31
119545,ITC,Consumer,38.82,2025-12-31
119545,BAJFINANCE,Financials,4.98,2025-12-31
119545,ASIANPAINT,Consumer,13.01,2025-12-31
119545,BHARTIARTL,Telecom,14.24,2025-12-31
119545,HDFCBANK,Financials,8.8,2025-12-31
119545,HINDUNILVR,Consumer,0.72,2025-12-31
119545,WIPRO,IT,13.17,2025-12-31
119545,SBIN,Financials,3.96,2025-12-31
119545,LT,Industrials,2.3,2025-12-31
120727,ULTRACEMCO,Materials,16.72,2025-12-31
120727,KOTAKBANK,Financials,9.96,2025-12-31
120727,TITAN,Consumer,14.09,2025-12-31
120727,WIPRO,IT,5.9,2025-12-31
120727,HCLTECH,IT,13.4,2025-12-31
120727,RELIANCE,Energy,7.38,2025-12-31
120727,ICICIBANK,Financials,9.14,2025-12-31
120727,ASIANPAINT,Consumer,23.41,2025-12-31
120647,ULTRACEMCO,Materials,7.59,2025-12-31
120647,BAJFINANCE,Financials,26.54,2025-12-31
120647,SUNPHARMA,Healthcare,4.72,2025-12-31
120647,KOTAKBANK,Financials,5.1,2025-12-31
120647,TITAN,Consumer,1.96,2025-12-31
120647,WIPRO,IT,12.28,2025-12-31
120647,MARUTI,Auto,16.32,2025-12-31
120647,AXISBANK,Financials,1.6,2025-12-31
120647,SBIN,Financials,4.82,2025-12-31
120647,HINDUNILVR,Consumer,4.54,2025-12-31
120647,TCS,IT,12.56,2025-12-31
120647,INFY,IT,1.97,2025-12-31
118566,INFY,IT,6.03,2025-12-31
118566,RELIANCE,Energy,35.68,2025-12-31
118566,BAJFINANCE,Financials,6.72,2025-12-31
118566,AXISBANK,Financials,7.27,2025-12-31
118566,ULTRACEMCO,Materials,11.3,2025-12-31
118566,ITC,Consumer,0.07,2025-12-31
118566,HDFCBANK,Financials,3.4,2025-12-31
118566,TITAN,Consumer,7.81,2025-12-31
118566,HCLTECH,IT,1.05,2025-12-31
118566,BHARTIARTL,Telecom,20.67,2025-12-31
119062,RELIANCE,Energy,32.12,2025-12-31
119062,ICICIBANK,Financials,5.25,2025-12-31
119062,HDFCBANK,Financials,7.41,2025-12-31
119062,KOTAKBANK,Financials,13.63,2025-12-31
119062,HCLTECH,IT,9.99,2025-12-31
119062,SBIN,Financials,0.91,2025-12-31
119062,AXISBANK,Financials,3.51,2025-12-31
119062,WIPRO,IT,2.28,2025-12-31
119062,ITC,Consumer,3.52,2025-12-31
119062,TCS,IT,13.67,2025-12-31
119062,BHARTIARTL,Telecom,2.41,2025-12-31
119062,BAJFINANCE,Financials,3.2,2025-12-31
119062,HINDUNILVR,Consumer,2.11,2025-12-31
120505,ASIANPAINT,Consumer,0.14,2025-12-31
120505,INFY,IT,12.58,2025-12-31
120505,WIPRO,IT,7.84,2025-12-31
120505,BHARTIARTL,Telecom,2.65,2025-12-31
120505,HDFCBANK,Financials,13.77,2025-12-31
120505,AXISBANK,Financials,11.68,2025-12-31
120505,HINDUNILVR,Consumer,10.28,2025-12-31
120505,ULTRACEMCO,Materials,0.57,2025-12-31
120505,MARUTI,Auto,7.06,2025-12-31
120505,KOTAKBANK,Financials,14.36,2025-12-31
120505,ITC,Consumer,2.19,2025-12-31
120505,BAJFINANCE,Financials,16.88,2025-12-31
120505,HCLTECH,IT,0.01,2025-12-31
119564,ASIANPAINT,Consumer,41.03,2025-12-31
119564,WIPRO,IT,0.3,2025-12-31
119564,BHARTIARTL,Telecom,32.55,2025-12-31
119564,MARUTI,Auto,4.62,2025-12-31
119564,HDFCBANK,Financials,9.73,2025-12-31
119564,RELIANCE,Energy,1.66,2025-12-31
119564,KOTAKBANK,Financials,0.27,2025-12-31
119564,LT,Industrials,9.84,2025-12-31
125498,SBIN,Financials,30.55,2025-12-31
125498,HDFCBANK,Financials,17.31,2025-12-31
125498,RELIANCE,Energy,4.75,2025-12-31
125498,KOTAKBANK,Financials,5.38,2025-12-31
125498,MARUTI,Auto,8.56,2025-12-31
125498,LT,Industrials,16.13,2025-12-31
125498,TITAN,Consumer,2.39,2025-12-31
125498,ULTRACEMCO,Materials,7.94,2025-12-31
125498,ICICIBANK,Financials,7.0,2025-12-31
120850,LT,Industrials,8.66,2025-12-31
120850,TITAN,Consumer,7.54,2025-12-31
120850,SBIN,Financials,7.93,2025-12-31
120850,SUNPHARMA,Healthcare,9.04,2025-12-31
120850,ICICIBANK,Financials,29.74,2025-12-31
120850,KOTAKBANK,Financials,0.56,2025-12-31
120850,INFY,IT,5.52,2025-12-31
120850,ULTRACEMCO,Materials,7.91,2025-12-31
120850,HINDUNILVR,Consumer,12.18,2025-12-31
120850,BAJFINANCE,Financials,6.73,2025-12-31
120850,ASIANPAINT,Consumer,4.19,2025-12-31
119438,INFY,IT,6.19,2025-12-31
119438,HDFCBANK,Financials,17.94,2025-12-31
119438,SUNPHARMA,Healthcare,3.01,2025-12-31
119438,ULTRACEMCO,Materials,4.58,2025-12-31
119438,TCS,IT,18.43,2025-12-31
119438,TITAN,Consumer,7.11,2025-12-31
119438,ITC,Consumer,17.62,2025-12-31
119438,BAJFINANCE,Financials,20.1,2025-12-31
119438,HINDUNILVR,Consumer,0.48,2025-12-31
119438,ICICIBANK,Financials,4.55,2025-12-31
120728,HCLTECH,IT,3.36,2025-12-31
120728,LT,Industrials,1.52,2025-12-31
120728,BHARTIARTL,Telecom,15.11,2025-12-31
120728,TCS,IT,1.77,2025-12-31
120728,KOTAKBANK,Financials,22.48,2025-12-31
120728,MARUTI,Auto,13.13,2025-12-31
120728,WIPRO,IT,4.86,2025-12-31
120728,SBIN,Financials,2.66,2025-12-31
120728,ICICIBANK,Financials,5.43,2025-12-31
120728,AXISBANK,Financials,9.41,2025-12-31
120728,INFY,IT,14.36,2025-12-31
120728,RELIANCE,Energy,0.93,2025-12-31
120728,ITC,Consumer,2.99,2025-12-31
120728,ASIANPAINT,Consumer,1.99,2025-12-31
