fund_house,quarter_end_date,aum_crore,num_schemes
Franklin Templeton Mutual Fund,2023-03-31,1019.7,60
Franklin Templeton Mutual Fund,2023-06-30,1105.1,48
Franklin Templeton Mutual Fund,2023-09-30,1154.04,34
Franklin Templeton Mutual Fund,2023-12-31,1161.92,34
Franklin Templeton Mutual Fund,2024-03-31,1192.32,53
Franklin Templeton Mutual Fund,2024-06-30,1246.14,44
Franklin Templeton Mutual Fund,2024-09-30,1242.44,47
Franklin Templeton Mutual Fund,2024-12-31,1251.14,50
Franklin Templeton Mutual Fund,2025-03-31,1303.62,74
Franklin Templeton Mutual Fund,2025-06-30,1353.88,38
Franklin Templeton Mutual Fund,2025-09-30,1364.31,28
Franklin Templeton Mutual Fund,2025-12-31,1391.58,52
