tx_id,investor_id,amfi_code,date,amount,transaction_type,state,city,tier,age,gender,income_slab,kyc_status
TX0000022,INV00003,119545,2023-11-13,2500,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000023,INV00003,118566,2024-10-09,1000,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000024,INV00003,120606,2024-07-13,25000,REDEMPTION,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000025,INV00003,118566,2023-06-17,50000,LUMPSUM,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000026,INV00003,120725,2024-12-08,10000,REDEMPTION,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000027,INV00003,120647,2026-02-20,2500,SIP,Haryana,Coimbatore,T30,32,M,5-10L,Completed
TX0000028,INV00004,120507,2025-08-19,1000,SIP,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000029,INV00004,119598,2023-09-22,2500,SIP,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000030,INV00004,120841,2026-04-03,1000,SIP,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000031,INV00004,119564,2024-10-21,25000,LUMPSUM,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000032,INV00004,119544,2024-11-13,1000,SIP,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000033,INV00004,120725,2022-03-31,5000,REDEMPTION,Bihar,Delhi,B30,48,F,5-10L,Completed
TX0000034,INV00005,125498,2026-01-20,2500,SIP,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000035,INV00005,118566,2025-07-11,2500,SIP,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000036,INV00005,120716,2024-05-15,1000,SIP,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000037,INV00005,119553,2022-12-24,500,SIP,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000038,INV00005,120505,2024-12-25,10000,REDEMPTION,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000039,INV00005,120725,2024-07-25,50000,LUMPSUM,Odisha,Coimbatore,T30,53,M,5-10L,Completed
TX0000040,INV00006,119437,2023-08-12,2500,SIP,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000041,INV00006,119544,2023-02-07,500,SIP,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000042,INV00006,120850,2025-12-01,10000,LUMPSUM,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000043,INV00006,125495,2023-02-11,50000,REDEMPTION,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000044,INV00006,119545,2024-08-03,25000,LUMPSUM,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000045,INV00006,120727,2023-06-05,5000,REDEMPTION,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000046,INV00006,120850,2023-08-03,10000,SIP,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000047,INV00006,120606,2023-03-29,2500,SIP,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000048,INV00006,120586,2026-03-19,5000,SIP,Maharashtra,Indore,T30,62,M,>20L,Completed
TX0000049,INV00007,119600,2023-12-06,25000,LUMPSUM,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000050,INV00007,120642,2025-11-01,500,SIP,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000051,INV00007,120645,2025-05-25,100000,LUMPSUM,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000052,INV00007,120586,2022-09-11,25000,LUMPSUM,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000053,INV00007,120845,2023-06-07,2500,SIP,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000054,INV00007,119551,2023-06-18,1000,SIP,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000055,INV00007,120727,2023-01-13,10000,LUMPSUM,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000056,INV00007,120647,2025-07-04,2500,SIP,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000057,INV00007,119437,2025-07-20,2500,SIP,Odisha,Lucknow,T30,42,M,5-10L,Completed
TX0000058,INV00008,119545,2022-03-10,5000,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000059,INV00008,119551,2024-02-17,5000,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000060,INV00008,118751,2023-11-13,2500,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000061,INV00008,120850,2025-08-02,5000,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000062,INV00008,119551,2026-04-09,25000,LUMPSUM,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000063,INV00008,120505,2022-01-21,1000,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000064,INV00008,120716,2022-07-25,2500,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000065,INV00008,119553,2025-01-29,10000,SIP,Kerala,Jaipur,B30,33,M,10-20L,Completed
TX0000066,INV00009,119598,2024-05-05,500,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000067,INV00009,119564,2025-04-12,10000,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000068,INV00009,119564,2024-01-04,2500,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000069,INV00009,120845,2025-08-07,1000,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000070,INV00009,120841,2023-12-28,2500,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000071,INV00009,120647,2023-10-29,50000,LUMPSUM,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000072,INV00009,119556,2026-05-15,2500,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000073,INV00009,125497,2025-01-19,10000,LUMPSUM,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000074,INV00009,118559,2025-06-06,5000,REDEMPTION,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000075,INV00009,120503,2024-08-19,1000,SIP,Haryana,Mumbai,T30,28,M,5-10L,Completed
TX0000076,INV00010,125494,2025-12-17,10000,LUMPSUM,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000077,INV00010,118632,2023-05-29,500,SIP,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000078,INV00010,119552,2024-03-13,10000,LUMPSUM,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000079,INV00010,120852,2024-12-07,100000,LUMPSUM,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000080,INV00010,125495,2024-09-15,1000,SIP,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000081,INV00010,125494,2022-03-27,50000,REDEMPTION,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000082,INV00010,120725,2022-04-12,5000,SIP,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000083,INV00010,119062,2022-09-12,5000,REDEMPTION,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000084,INV00010,120845,2022-09-20,10000,LUMPSUM,Telangana,Indore,T30,43,F,10-20L,Completed
TX0000085,INV00011,125494,2022-05-14,1000,SIP,Bihar,Chennai,T30,53,M,<5L,Completed
TX0000086,INV00011,125494,2025-02-28,5000,SIP,Bihar,Chennai,T30,53,M,<5L,Completed
TX0000087,INV00011,120716,2025-01-03,2500,SIP,Bihar,Chennai,T30,53,M,<5L,Completed
TX0000088,INV00011,118751,2025-12-27,500,SIP,Bihar,Chennai,T30,53,M,<5L,Completed
TX0000089,INV00012,119600,2022-11-29,1000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000090,INV00012,119600,2022-01-08,1000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000091,INV00012,120507,2022-05-24,2500,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000092,INV00012,120727,2023-09-05,2500,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000093,INV00012,119552,2022-04-29,10000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000094,INV00012,119600,2024-11-23,10000,LUMPSUM,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000095,INV00012,119437,2024-09-25,10000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000096,INV00012,119552,2022-01-25,1000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000097,INV00012,119598,2022-07-27,10000,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000098,INV00012,119564,2023-12-23,2500,SIP,Madhya Pradesh,Kolkata,B30,24,M,>20L,Completed
TX0000099,INV00013,120586,2022-04-24,10000,REDEMPTION,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000100,INV00013,120852,2023-08-11,2500,SIP,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000101,INV00013,120728,2025-03-12,50000,LUMPSUM,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000102,INV00013,119564,2023-11-02,2500,SIP,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000103,INV00013,125494,2022-12-10,1000,SIP,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000104,INV00013,119551,2023-12-27,500,SIP,Punjab,Patna,B30,33,M,10-20L,Completed
TX0000105,INV00014,119564,2024-05-30,5000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000106,INV00014,118566,2025-09-01,25000,LUMPSUM,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000107,INV00014,125498,2023-01-25,1000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000108,INV00014,120845,2024-03-06,25000,REDEMPTION,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000109,INV00014,120848,2026-05-08,1000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000110,INV00014,120845,2022-09-01,5000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000111,INV00014,120503,2023-01-28,5000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000112,INV00014,119062,2023-11-17,5000,SIP,Odisha,Indore,T30,34,M,5-10L,Completed
TX0000113,INV00015,120850,2025-01-29,10000,SIP,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000114,INV00015,119438,2024-09-29,1000,SIP,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000115,INV00015,120503,2023-07-23,25000,REDEMPTION,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000116,INV00015,120606,2022-08-27,2500,SIP,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000117,INV00015,120507,2024-06-13,1000,SIP,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000118,INV00015,118566,2025-11-11,2500,SIP,Uttar Pradesh,Coimbatore,B30,43,F,<5L,Completed
TX0000119,INV00016,118559,2023-09-14,10000,SIP,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000120,INV00016,125494,2026-02-07,10000,LUMPSUM,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000121,INV00016,120606,2022-11-07,2500,SIP,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000122,INV00016,120507,2024-04-12,1000,SIP,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000123,INV00016,120503,2022-03-18,1000,SIP,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000124,INV00016,119545,2025-07-01,1000,SIP,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000125,INV00016,120728,2024-08-19,5000,REDEMPTION,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000126,INV00016,118566,2025-08-24,5000,REDEMPTION,Haryana,Bhopal,T30,63,M,10-20L,Completed
TX0000127,INV00017,125497,2025-02-07,5000,SIP,Kerala,Bangalore,T30,59,M,5-10L,Completed
TX0000128,INV00017,119092,2023-03-31,1000,SIP,Kerala,Bangalore,T30,59,M,5-10L,Completed
TX0000129,INV00017,119553,2023-08-01,500,SIP,Kerala,Bangalore,T30,59,M,5-10L,Completed
TX0000130,INV00017,120503,2023-01-30,500,SIP,Kerala,Bangalore,T30,59,M,5-10L,Completed
TX0000131,INV00017,120647,2024-12-01,10000,SIP,Kerala,Bangalore,T30,59,M,5-10L,Completed
TX0000132,INV00018,120586,2022-12-19,50000,LUMPSUM,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000133,INV00018,125494,2025-11-12,10000,LUMPSUM,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000134,INV00018,125495,2025-10-04,2500,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000135,INV00018,120647,2025-11-16,1000,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000136,INV00018,120505,2026-02-09,25000,LUMPSUM,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000137,INV00018,119551,2025-04-14,2500,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000138,INV00018,120725,2025-01-14,2500,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000139,INV00018,120845,2023-09-03,2500,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000140,INV00018,118751,2023-12-06,10000,SIP,Delhi,Bhopal,T30,49,F,5-10L,Completed
TX0000141,INV00019,125498,2024-10-04,10000,REDEMPTION,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000142,INV00019,120647,2024-04-20,5000,SIP,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000143,INV00019,118559,2022-08-09,10000,REDEMPTION,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000144,INV00019,119556,2022-09-28,50000,REDEMPTION,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000145,INV00019,118559,2025-07-27,5000,REDEMPTION,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000146,INV00019,119552,2025-12-18,1000,SIP,Delhi,Chennai,T30,26,M,10-20L,Completed
TX0000147,INV00020,125494,2024-02-08,1000,SIP,Bihar,Delhi,B30,51,M,10-20L,Completed
TX0000148,INV00020,120850,2024-06-15,1000,SIP,Bihar,Delhi,B30,51,M,10-20L,Completed
TX0000149,INV00020,120606,2024-04-29,2500,SIP,Bihar,Delhi,B30,51,M,10-20L,Completed
TX0000150,INV00020,119551,2025-12-26,10000,SIP,Bihar,Delhi,B30,51,M,10-20L,Completed
TX0000151,INV00020,119552,2025-10-14,10000,LUMPSUM,Bihar,Delhi,B30,51,M,10-20L,Completed
TX0000152,INV00021,120586,2025-05-15,2500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000153,INV00021,119600,2025-11-27,500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000154,INV00021,120716,2025-03-22,2500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000155,INV00021,120728,2025-04-16,5000,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000156,INV00021,119062,2022-03-01,5000,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000157,INV00021,120841,2026-03-21,50000,LUMPSUM,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000158,INV00021,118564,2025-11-04,1000,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000159,INV00021,118743,2024-09-16,10000,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000160,INV00021,120725,2024-03-17,2500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000161,INV00021,119545,2023-12-25,2500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000162,INV00021,120606,2023-01-22,2500,SIP,Delhi,Patna,T30,53,M,10-20L,Completed
TX0000163,INV00022,120728,2024-02-25,100000,LUMPSUM,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000164,INV00022,120505,2024-10-07,2500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000165,INV00022,118743,2024-02-24,10000,REDEMPTION,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000166,INV00022,118632,2025-09-11,2500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000167,INV00022,120505,2023-04-20,500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000168,INV00022,120727,2024-08-16,5000,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000169,INV00022,119545,2025-05-22,10000,REDEMPTION,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000170,INV00022,120725,2023-03-30,2500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000171,INV00022,119062,2024-01-23,500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000172,INV00022,118632,2024-02-01,1000,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000173,INV00022,119545,2024-11-08,500,SIP,Karnataka,Mumbai,T30,41,F,10-20L,Completed
TX0000174,INV00023,120505,2022-11-06,10000,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000175,INV00023,118632,2023-08-30,500,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000176,INV00023,125497,2023-10-31,2500,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000177,INV00023,118559,2024-01-06,5000,REDEMPTION,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000178,INV00023,120845,2024-06-10,50000,LUMPSUM,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000179,INV00023,119553,2022-10-10,2500,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000180,INV00023,118632,2024-02-13,5000,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000181,INV00023,119556,2025-10-03,5000,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000182,INV00023,119552,2026-04-11,1000,SIP,Tamil Nadu,Nagpur,T30,41,M,5-10L,Completed
TX0000183,INV00024,120505,2024-09-02,1000,SIP,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000184,INV00024,119092,2023-12-23,500,SIP,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000185,INV00024,119092,2026-01-27,10000,SIP,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000186,INV00024,119545,2024-05-09,10000,REDEMPTION,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000187,INV00024,119598,2026-03-08,5000,REDEMPTION,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000188,INV00024,120727,2025-03-14,5000,SIP,Uttar Pradesh,Jaipur,T30,62,M,<5L,Completed
TX0000189,INV00025,120850,2024-08-07,500,SIP,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000190,INV00025,120852,2024-05-29,2500,SIP,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000191,INV00025,125498,2022-07-17,2500,SIP,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000192,INV00025,118632,2025-03-18,25000,REDEMPTION,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000193,INV00025,119553,2026-02-12,10000,SIP,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000194,INV00025,119551,2022-07-18,2500,SIP,Gujarat,Coimbatore,T30,30,F,5-10L,Completed
TX0000195,INV00026,118743,2025-10-20,50000,LUMPSUM,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000196,INV00026,120606,2022-08-04,2500,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000197,INV00026,119437,2024-11-04,100000,LUMPSUM,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000198,INV00026,125498,2023-12-13,500,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000199,INV00026,120850,2024-04-24,2500,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000200,INV00026,120728,2025-03-13,10000,REDEMPTION,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000201,INV00026,119438,2022-03-17,2500,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000202,INV00026,120852,2022-01-24,2500,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000203,INV00026,118632,2022-10-29,5000,SIP,Uttar Pradesh,Indore,B30,28,F,10-20L,Completed
TX0000204,INV00027,120848,2023-02-04,2500,SIP,Odisha,Jaipur,B30,28,F,5-10L,Completed
TX0000205,INV00027,120586,2023-04-22,5000,SIP,Odisha,Jaipur,B30,28,F,5-10L,Completed
TX0000206,INV00027,120852,2026-04-04,1000,SIP,Odisha,Jaipur,B30,28,F,5-10L,Completed
TX0000207,INV00027,119556,2022-12-09,2500,SIP,Odisha,Jaipur,B30,28,F,5-10L,Completed
TX0000208,INV00027,125494,2022-11-07,10000,SIP,Odisha,Jaipur,B30,28,F,5-10L,Completed
TX0000209,INV00028,125494,2024-06-11,25000,LUMPSUM,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000210,INV00028,125495,2022-09-11,10000,SIP,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000211,INV00028,119564,2024-06-11,500,SIP,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000212,INV00028,119552,2022-02-18,25000,LUMPSUM,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000213,INV00028,118751,2024-04-30,100000,LUMPSUM,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000214,INV00028,119062,2026-04-19,100000,LUMPSUM,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000215,INV00028,118632,2025-10-26,5000,SIP,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000216,INV00028,120727,2025-04-09,5000,SIP,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000217,INV00028,119438,2026-02-16,10000,REDEMPTION,Delhi,Chennai,T30,47,M,10-20L,Completed
TX0000218,INV00029,118559,2022-01-11,500,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000219,INV00029,125497,2023-09-04,2500,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000220,INV00029,119564,2022-06-24,5000,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000221,INV00029,119544,2026-05-12,2500,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000222,INV00029,120507,2023-04-05,10000,LUMPSUM,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000223,INV00029,120728,2025-11-19,100000,LUMPSUM,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000224,INV00029,125498,2024-05-25,5000,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000225,INV00029,119552,2025-03-28,10000,LUMPSUM,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000226,INV00029,119437,2024-09-01,25000,REDEMPTION,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000227,INV00029,125494,2024-10-23,5000,SIP,Maharashtra,Bhopal,B30,54,M,10-20L,Completed
TX0000228,INV00030,119600,2024-08-07,25000,LUMPSUM,Rajasthan,Hyderabad,T30,52,F,5-10L,Completed
TX0000229,INV00030,118559,2023-07-18,1000,SIP,Rajasthan,Hyderabad,T30,52,F,5-10L,Completed
TX0000230,INV00030,118566,2026-04-07,2500,SIP,Rajasthan,Hyderabad,T30,52,F,5-10L,Completed
TX0000231,INV00030,118751,2023-08-08,50000,LUMPSUM,Rajasthan,Hyderabad,T30,52,F,5-10L,Completed
TX0000232,INV00030,120716,2023-02-28,10000,SIP,Rajasthan,Hyderabad,T30,52,F,5-10L,Completed
TX0000233,INV00031,119598,2022-12-27,2500,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000234,INV00031,120606,2024-12-13,1000,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000235,INV00031,119544,2022-05-14,2500,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000236,INV00031,120848,2023-08-25,5000,REDEMPTION,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000237,INV00031,120606,2026-02-02,500,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000238,INV00031,120841,2022-07-03,2500,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000239,INV00031,120725,2025-03-26,500,SIP,Delhi,Bangalore,T30,35,F,>20L,Completed
TX0000240,INV00032,120606,2024-05-16,10000,LUMPSUM,Delhi,Ahmedabad,B30,56,M,5-10L,Completed
TX0000241,INV00032,119092,2022-04-28,25000,REDEMPTION,Delhi,Ahmedabad,B30,56,M,5-10L,Completed
TX0000242,INV00032,119556,2025-05-23,2500,SIP,Delhi,Ahmedabad,B30,56,M,5-10L,Completed
TX0000243,INV00032,118564,2024-09-08,5000,SIP,Delhi,Ahmedabad,B30,56,M,5-10L,Completed
TX0000244,INV00032,119553,2025-01-29,2500,SIP,Delhi,Ahmedabad,B30,56,M,5-10L,Completed
